qid,date,section,mp,matched_score,matched_date,rank,MND,MinDef,MFA,MinLaw,MHA,MOT,MOF,MOM,MTI,MCCY,MSF,MOH,PMO,MEWR,MCI,MOE,speaker,dob,yob,start,end,gender,party,race,age,tenure,opposition,non-partisan,parl10,parl11,parl12,parl13,parl,num,voters,valid_votes,vote_share,vote,winners_majority_share,winners_majority,swing
20,2012-11-15,Singapore,12,0.970760233918129,2012-11-14,sms,,,1.0,,1.0,,,,,,,,,,,,0,1963-04-16,1963,2006-06-05,2018-03-02 00:00:00,male,pap,malay,18110.0,2354,0,0,0,0,1,0,12th parliament,5.0,137532.0,127109.0,57.2,72728.0,14.4,18347.0,-11.3
21,2012-11-15,Singapore,12,1.0,2012-11-14,sms,,,1.0,,1.0,,,,,,,,,,,,0,1963-04-16,1963,2006-06-05,2018-03-02 00:00:00,male,pap,malay,18110.0,2354,0,0,0,0,1,0,12th parliament,5.0,137532.0,127109.0,57.2,72728.0,14.4,18347.0,-11.3
22,2012-11-15,Singapore,12,0.545454545454545,2012-11-14,sms,,,1.0,,1.0,,,,,,,,,,,,0,1963-04-16,1963,2006-06-05,2018-03-02 00:00:00,male,pap,malay,18110.0,2354,0,0,0,0,1,0,12th parliament,5.0,137532.0,127109.0,57.2,72728.0,14.4,18347.0,-11.3
23,2012-11-15,Singapore,12,0.881118881118881,2012-11-14,sms,,,1.0,,1.0,,,,,,,,,,,,0,1963-04-16,1963,2006-06-05,2018-03-02 00:00:00,male,pap,malay,18110.0,2354,0,0,0,0,1,0,12th parliament,5.0,137532.0,127109.0,57.2,72728.0,14.4,18347.0,-11.3
24,2012-11-15,Singapore,12,0.885245901639344,2012-11-14,sms,,,1.0,,1.0,,,,,,,,,,,,0,1963-04-16,1963,2006-06-05,2018-03-02 00:00:00,male,pap,malay,18110.0,2354,0,0,0,0,1,0,12th parliament,5.0,137532.0,127109.0,57.2,72728.0,14.4,18347.0,-11.3
25,2012-03-16,Insight,13,0.821428571428571,2012-03-01,dpm,,,,,1.0,,,,,,,,,,,,0,1954-12-27,1954,1992-12-19,2018-03-02 00:00:00,male,pap,chinese,20884.0,7012,0,0,0,0,1,0,12th parliament,6.0,168971.0,155094.0,64.8,100493.0,29.6,45892.0,-3.9
26,2012-03-16,Insight,14,0.846153846153846,2012-03-07,minister,,,,,,1.0,,,,,,,,,,,0,1961-08-16,1961,2006-02-11,2012-01-08 00:00:00,male,pap,chinese,18466.0,2216,0,0,0,0,1,0,12th parliament,4.0,87595.0,76659.0,58.6,44886.0,17.2,13113.0,
27,2011-10-25,Prime News,15,0.878048780487805,2011-10-20,pm,,,,,,,,,,,,,,,,,0,1952-10-02,1952,1984-12-22,2018-03-02 00:00:00,male,pap,chinese,21567.0,9798,0,0,0,0,1,0,12th parliament,6.0,179071.0,162528.0,69.3,112677.0,38.6,62826.0,3.2
28,2011-10-25,Prime News,15,0.700636942675159,2011-10-20,pm,,,,,,,,,,,,,,,,,0,1952-10-02,1952,1984-12-22,2018-03-02 00:00:00,male,pap,chinese,21567.0,9798,0,0,0,0,1,0,12th parliament,6.0,179071.0,162528.0,69.3,112677.0,38.6,62826.0,3.2
29,2011-10-25,Prime News,16,0.836363636363636,2011-10-20,mp,,,,,,,,,,,,,,,,,0,1974-09-15,1974,2006-04-27,2018-03-02 00:00:00,male,pap,malay,13549.0,2002,0,0,0,0,1,0,12th parliament,5.0,158648.0,146595.0,61.2,89710.0,22.4,32825.0,
30,2011-10-12,Prime News,17,0.936329588014981,2011-10-10,dpm,,,,,,,1.0,1.0,,,,,,,,,0,1957-02-25,1957,2001-03-11,2018-03-02 00:00:00,male,pap,indian,19950.0,3865,0,0,0,0,1,0,12th parliament,5.0,125276.0,114381.0,67.0,76595.0,34.0,38809.0,
31,2011-10-12,Prime News,17,0.682926829268293,2011-10-10,dpm,,,,,,,1.0,1.0,,,,,,,,,0,1957-02-25,1957,2001-03-11,2018-03-02 00:00:00,male,pap,indian,19950.0,3865,0,0,0,0,1,0,12th parliament,5.0,125276.0,114381.0,67.0,76595.0,34.0,38809.0,
32,2011-10-12,Prime News,18,0.53781512605042,2006-11-02,minister,,,,,,,,,1.0,,,,,,,,0,1954-09-04,1954,1991-08-21,2018-03-02 00:00:00,male,pap,chinese,19052.0,5552,0,0,0,1,0,0,11th parliament,5.0,137739.0,,,,,,
33,2011-10-12,Prime News,17,0.935672514619883,2011-10-10,dpm,,,,,,,1.0,1.0,,,,,,,,,0,1957-02-25,1957,2001-03-11,2018-03-02 00:00:00,male,pap,indian,19950.0,3865,0,0,0,0,1,0,12th parliament,5.0,125276.0,114381.0,67.0,76595.0,34.0,38809.0,
34,2011-10-12,Prime News,17,0.99009900990099,2011-10-10,dpm,,,,,,,1.0,1.0,,,,,,,,,0,1957-02-25,1957,2001-03-11,2018-03-02 00:00:00,male,pap,indian,19950.0,3865,0,0,0,0,1,0,12th parliament,5.0,125276.0,114381.0,67.0,76595.0,34.0,38809.0,
35,2011-10-12,Prime News,17,0.989637305699482,2011-10-10,dpm,,,,,,,1.0,1.0,,,,,,,,,0,1957-02-25,1957,2001-03-11,2018-03-02 00:00:00,male,pap,indian,19950.0,3865,0,0,0,0,1,0,12th parliament,5.0,125276.0,114381.0,67.0,76595.0,34.0,38809.0,
36,2011-10-12,Prime News,17,0.99,2011-10-10,dpm,,,,,,,1.0,1.0,,,,,,,,,0,1957-02-25,1957,2001-03-11,2018-03-02 00:00:00,male,pap,indian,19950.0,3865,0,0,0,0,1,0,12th parliament,5.0,125276.0,114381.0,67.0,76595.0,34.0,38809.0,
37,2011-10-12,Prime News,18,0.874125874125874,2011-10-10,minister,,,,,,,,,1.0,,,,,,,,0,1954-09-04,1954,1991-08-21,2018-03-02 00:00:00,male,pap,chinese,20855.0,7355,0,0,0,0,1,0,12th parliament,5.0,121045.0,109006.0,66.6,72563.0,33.2,36120.0,
38,2012-03-15,Singapore,19,0.612903225806452,2012-03-09,mos,,,,,,,,,,1.0,1.0,,,,,,0,1954-08-23,1954,2001-10-25,2017-07-08 00:00:00,female,pap,malay,21018.0,3788,0,0,0,0,1,0,12th parliament,5.0,125276.0,114381.0,67.0,76595.0,34.0,38809.0,
39,2012-10-17,Singapore,20,0.666666666666667,2012-10-16,minister,,,,,,,,,,,,1.0,,,,,0,1959-09-02,1959,2001-10-25,2018-03-02 00:00:00,male,pap,chinese,19403.0,4009,0,0,0,0,1,0,12th parliament,5.0,158648.0,146595.0,61.2,89710.0,22.4,32825.0,
40,2012-10-17,Singapore,20,0.93574297188755,2012-10-16,minister,,,,,,,,,,,,1.0,,,,,0,1959-09-02,1959,2001-10-25,2018-03-02 00:00:00,male,pap,chinese,19403.0,4009,0,0,0,0,1,0,12th parliament,5.0,158648.0,146595.0,61.2,89710.0,22.4,32825.0,
41,2012-10-17,Singapore,21,0.96551724137931,2012-10-16,mp,,,,,,,,,,,,,,,,,0,1965-03-28,1965,2006-11-05,2018-03-02 00:00:00,female,wp,chinese,17369.0,2172,1,0,0,0,1,0,12th parliament,5.0,143148.0,132118.0,54.7,72289.0,9.4,12460.0,10.8
42,2012-10-17,Singapore,20,0.985714285714286,2012-10-16,minister,,,,,,,,,,,,1.0,,,,,0,1959-09-02,1959,2001-10-25,2018-03-02 00:00:00,male,pap,chinese,19403.0,4009,0,0,0,0,1,0,12th parliament,5.0,158648.0,146595.0,61.2,89710.0,22.4,32825.0,
43,2012-11-17,Top of The News,0,0.89922480620155,2012-11-16,minister,1.0,,,,,,,,,,,,,,,,0,1952-08-12,1952,2001-10-25,2018-03-02 00:00:00,male,pap,chinese,22011.0,4040,0,0,0,0,1,0,12th parliament,5.0,142459.0,131857.0,63.9,84252.0,27.8,36647.0,-12.8
44,2012-11-17,Top of The News,0,0.837606837606838,2012-11-16,minister,1.0,,,,,,,,,,,,,,,,0,1952-08-12,1952,2001-10-25,2018-03-02 00:00:00,male,pap,chinese,22011.0,4040,0,0,0,0,1,0,12th parliament,5.0,142459.0,131857.0,63.9,84252.0,27.8,36647.0,-12.8
45,2012-11-17,Top of The News,0,0.879120879120879,2012-11-16,minister,1.0,,,,,,,,,,,,,,,,0,1952-08-12,1952,2001-10-25,2018-03-02 00:00:00,male,pap,chinese,22011.0,4040,0,0,0,0,1,0,12th parliament,5.0,142459.0,131857.0,63.9,84252.0,27.8,36647.0,-12.8
46,2012-11-17,Top of The News,0,0.81875,2012-11-16,minister,1.0,,,,,,,,,,,,,,,,0,1952-08-12,1952,2001-10-25,2018-03-02 00:00:00,male,pap,chinese,22011.0,4040,0,0,0,0,1,0,12th parliament,5.0,142459.0,131857.0,63.9,84252.0,27.8,36647.0,-12.8
47,2012-11-17,Top of The News,0,0.666666666666667,2012-11-16,minister,1.0,,,,,,,,,,,,,,,,0,1952-08-12,1952,2001-10-25,2018-03-02 00:00:00,male,pap,chinese,22011.0,4040,0,0,0,0,1,0,12th parliament,5.0,142459.0,131857.0,63.9,84252.0,27.8,36647.0,-12.8
48,2012-11-17,Top of The News,0,0.865384615384615,2012-11-16,minister,1.0,,,,,,,,,,,,,,,,0,1952-08-12,1952,2001-10-25,2018-03-02 00:00:00,male,pap,chinese,22011.0,4040,0,0,0,0,1,0,12th parliament,5.0,142459.0,131857.0,63.9,84252.0,27.8,36647.0,-12.8
49,2012-02-18,Prime News,17,0.966666666666667,2012-02-17,dpm,,,,,,,1.0,1.0,,,,,,,,,0,1957-02-25,1957,2001-03-11,2018-03-02 00:00:00,male,pap,indian,20080.0,3995,0,0,0,0,1,0,12th parliament,5.0,125276.0,114381.0,67.0,76595.0,34.0,38809.0,
50,2012-02-18,Prime News,17,0.6,2012-02-17,dpm,,,,,,,1.0,1.0,,,,,,,,,0,1957-02-25,1957,2001-03-11,2018-03-02 00:00:00,male,pap,indian,20080.0,3995,0,0,0,0,1,0,12th parliament,5.0,125276.0,114381.0,67.0,76595.0,34.0,38809.0,
51,2012-02-18,Prime News,17,0.905660377358491,2012-02-17,dpm,,,,,,,1.0,1.0,,,,,,,,,0,1957-02-25,1957,2001-03-11,2018-03-02 00:00:00,male,pap,indian,20080.0,3995,0,0,0,0,1,0,12th parliament,5.0,125276.0,114381.0,67.0,76595.0,34.0,38809.0,
52,2012-02-18,Prime News,17,0.991452991452992,2012-02-17,dpm,,,,,,,1.0,1.0,,,,,,,,,0,1957-02-25,1957,2001-03-11,2018-03-02 00:00:00,male,pap,indian,20080.0,3995,0,0,0,0,1,0,12th parliament,5.0,125276.0,114381.0,67.0,76595.0,34.0,38809.0,
53,2012-02-18,Prime News,17,0.690763052208835,2012-02-17,dpm,,,,,,,1.0,1.0,,,,,,,,,0,1957-02-25,1957,2001-03-11,2018-03-02 00:00:00,male,pap,indian,20080.0,3995,0,0,0,0,1,0,12th parliament,5.0,125276.0,114381.0,67.0,76595.0,34.0,38809.0,
54,2012-11-16,Singapore,22,0.666666666666667,2012-11-15,mp,,,,,,,,,,,,,,,,,0,1966-05-28,1966,2006-06-05,2018-03-02 00:00:00,female,pap,chinese,16973.0,2355,0,0,0,0,1,0,12th parliament,5.0,120324.0,109421.0,54.8,59992.0,9.6,10563.0,-9.1
55,2012-11-16,Singapore,23,0.512437810945274,2012-11-15,mp,,,,,,,,,,,,,,,,,0,1959-09-12,1959,2006-06-05,2018-03-02 00:00:00,female,pap,chinese,19423.0,2355,0,0,0,0,1,0,12th parliament,4.0,87595.0,76659.0,58.6,44886.0,17.2,13113.0,
56,2012-11-16,Singapore,9,0.666666666666667,2012-11-15,mp,,,,,,,,,,,,,,,,,0,,1961,2006-04-27,2018-03-02 00:00:00,male,pap,chinese,18615.0,2394,0,0,0,0,1,0,12th parliament,5.0,154451.0,138212.0,56.6,78286.0,13.2,18360.0,
57,2012-11-16,Singapore,9,0.628571428571429,2012-11-15,mp,,,,,,,,,,,,,,,,,0,,1961,2006-04-27,2018-03-02 00:00:00,male,pap,chinese,18615.0,2394,0,0,0,0,1,0,12th parliament,5.0,154451.0,138212.0,56.6,78286.0,13.2,18360.0,
58,2012-11-16,Singapore,23,0.845637583892617,2012-11-15,mp,,,,,,,,,,,,,,,,,0,1959-09-12,1959,2006-06-05,2018-03-02 00:00:00,female,pap,chinese,19423.0,2355,0,0,0,0,1,0,12th parliament,4.0,87595.0,76659.0,58.6,44886.0,17.2,13113.0,
59,2012-11-16,Singapore,23,0.766666666666667,2012-11-15,mp,,,,,,,,,,,,,,,,,0,1959-09-12,1959,2006-06-05,2018-03-02 00:00:00,female,pap,chinese,19423.0,2355,0,0,0,0,1,0,12th parliament,4.0,87595.0,76659.0,58.6,44886.0,17.2,13113.0,
60,2012-11-16,Singapore,23,0.846625766871166,2012-11-15,mp,,,,,,,,,,,,,,,,,0,1959-09-12,1959,2006-06-05,2018-03-02 00:00:00,female,pap,chinese,19423.0,2355,0,0,0,0,1,0,12th parliament,4.0,87595.0,76659.0,58.6,44886.0,17.2,13113.0,
61,2012-11-16,Singapore,24,0.595744680851064,2012-11-15,mp,,,,,,,,,,,,,,,,,0,1966-10-01,1966,2011-07-05,2018-03-02 00:00:00,female,pap,chinese,16847.0,499,0,0,0,0,1,0,12th parliament,5.0,121045.0,109006.0,66.6,72563.0,33.2,36120.0,
62,2012-11-16,Singapore,25,0.706896551724138,2012-11-15,mp,,,,,,,,,,,,,,,,,0,1963-10-23,1963,2011-07-05,2018-03-02 00:00:00,male,pap,chinese,17921.0,499,0,0,0,0,1,0,12th parliament,6.0,168971.0,155094.0,64.8,100493.0,29.6,45892.0,-3.9
63,2012-11-16,Singapore,17,0.542586750788643,2012-11-15,dpm,,,,,,,1.0,,,,,,,,,,0,1957-02-25,1957,2001-03-11,2018-03-02 00:00:00,male,pap,indian,20352.0,4267,0,0,0,0,1,0,12th parliament,5.0,125276.0,114381.0,67.0,76595.0,34.0,38809.0,
64,2012-11-16,Singapore,17,0.778523489932886,2012-11-15,dpm,,,,,,,1.0,,,,,,,,,,0,1957-02-25,1957,2001-03-11,2018-03-02 00:00:00,male,pap,indian,20352.0,4267,0,0,0,0,1,0,12th parliament,5.0,125276.0,114381.0,67.0,76595.0,34.0,38809.0,
65,2012-11-16,Singapore,26,0.993055555555556,2012-11-15,mp,,,,,,,,,,,,,,,,,0,,1977,2011-07-05,2018-03-02 00:00:00,male,pap,chinese,12775.0,499,0,0,0,0,1,0,12th parliament,5.0,142459.0,131857.0,63.9,84252.0,27.8,36647.0,-12.8
66,2012-11-16,Singapore,17,0.93681917211329,2012-11-15,dpm,,,,,,,1.0,,,,,,,,,,0,1957-02-25,1957,2001-03-11,2018-03-02 00:00:00,male,pap,indian,20352.0,4267,0,0,0,0,1,0,12th parliament,5.0,125276.0,114381.0,67.0,76595.0,34.0,38809.0,
67,2012-07-11,Singapore,27,0.610526315789474,2012-07-10,ncmp,,,,,,,,,,,,,,,,,0,1949-06-04,1949,2006-02-11,19/4/2011,female,spp,chinese,23047.0,2341,1,0,0,0,1,0,12th parliament,1.0,17327.0,15870.0,49.6,7878.0,,,
68,2012-07-11,Singapore,27,0.921348314606742,2012-07-10,ncmp,,,,,,,,,,,,,,,,,0,1949-06-04,1949,2006-02-11,19/4/2011,female,spp,chinese,23047.0,2341,1,0,0,0,1,0,12th parliament,1.0,17327.0,15870.0,49.6,7878.0,,,
69,2012-07-11,Singapore,28,0.77734375,2012-07-10,nmp,,,,,,,,,,,,,,,,,0,1973-10-12,1973,2012-02-14,13/8/2014,female,ind,chinese,14151.0,147,0,1,0,0,1,0,12th parliament,,,,,,,,
70,2012-07-11,Singapore,13,0.913838120104439,2012-07-10,dpm,,,,,1.0,,,,,,,,,,,,0,1954-12-27,1954,1992-12-19,2018-03-02 00:00:00,male,pap,chinese,21015.0,7143,0,0,0,0,1,0,12th parliament,6.0,168971.0,155094.0,64.8,100493.0,29.6,45892.0,-3.9
71,2012-03-14,Prime News,19,1.0,2012-03-09,mos,,,,,,,,,,1.0,1.0,,,,,,0,1954-08-23,1954,2001-10-25,2017-07-08 00:00:00,female,pap,malay,21018.0,3788,0,0,0,0,1,0,12th parliament,5.0,125276.0,114381.0,67.0,76595.0,34.0,38809.0,
72,2012-03-14,Prime News,19,0.899497487437186,2012-03-09,mos,,,,,,,,,,1.0,1.0,,,,,,0,1954-08-23,1954,2001-10-25,2017-07-08 00:00:00,female,pap,malay,21018.0,3788,0,0,0,0,1,0,12th parliament,5.0,125276.0,114381.0,67.0,76595.0,34.0,38809.0,
73,2012-11-17,Top of The News,29,0.618181818181818,2012-11-16,sms,,1.0,,,,,,,,,1.0,,,,,,0,1969-09-10,1969,2011-04-27,2018-03-02 00:00:00,male,pap,chinese,15773.0,569,0,0,0,0,1,0,12th parliament,5.0,139771.0,,,,,,
74,2012-11-17,Top of The News,29,0.094876660341556,2012-11-16,sms,,1.0,,,,,,,,,1.0,,,,,,0,1969-09-10,1969,2011-04-27,2018-03-02 00:00:00,male,pap,chinese,15773.0,569,0,0,0,0,1,0,12th parliament,5.0,139771.0,,,,,,
75,2012-11-17,Top of The News,30,0.715542521994135,2012-11-16,minister,,,,,1.0,,,,1.0,,,,1.0,,,,0,1962-06-14,1962,1997-02-01,2018-03-02 00:00:00,male,pap,indian,18418.0,5767,0,0,0,0,1,0,12th parliament,5.0,121045.0,109006.0,66.6,72563.0,33.2,36120.0,
76,2011-11-04,ST Forum,19,0.6875,2011-10-18,mos,,,,,,,,,,1.0,,,,,,,0,1954-08-23,1954,2001-10-25,2017-07-08 00:00:00,female,pap,malay,20875.0,3645,0,0,0,0,1,0,12th parliament,5.0,125276.0,114381.0,67.0,76595.0,34.0,38809.0,
77,2012-11-15,Singapore,11,0.833333333333333,2012-11-14,minister,,,1.0,1.0,,,,,,,,,,,,,0,1959-03-26,1959,1988-03-09,2018-03-02 00:00:00,male,pap,indian,19592.0,9016,0,0,0,0,1,0,12th parliament,5.0,148290.0,138263.0,58.4,80740.0,16.8,23217.0,
78,2012-11-15,Singapore,11,0.763888888888889,2012-11-14,minister,,,1.0,1.0,,,,,,,,,,,,,0,1959-03-26,1959,1988-03-09,2018-03-02 00:00:00,male,pap,indian,19592.0,9016,0,0,0,0,1,0,12th parliament,5.0,148290.0,138263.0,58.4,80740.0,16.8,23217.0,
79,2012-11-15,Singapore,11,0.961538461538462,2012-11-14,minister,,,1.0,1.0,,,,,,,,,,,,,0,1959-03-26,1959,1988-03-09,2018-03-02 00:00:00,male,pap,indian,19592.0,9016,0,0,0,0,1,0,12th parliament,5.0,148290.0,138263.0,58.4,80740.0,16.8,23217.0,
80,2012-11-15,Singapore,11,0.254777070063694,2012-11-14,minister,,,1.0,1.0,,,,,,,,,,,,,0,1959-03-26,1959,1988-03-09,2018-03-02 00:00:00,male,pap,indian,19592.0,9016,0,0,0,0,1,0,12th parliament,5.0,148290.0,138263.0,58.4,80740.0,16.8,23217.0,
81,2012-11-15,Singapore,11,0.820809248554913,2012-11-14,minister,,,1.0,1.0,,,,,,,,,,,,,0,1959-03-26,1959,1988-03-09,2018-03-02 00:00:00,male,pap,indian,19592.0,9016,0,0,0,0,1,0,12th parliament,5.0,148290.0,138263.0,58.4,80740.0,16.8,23217.0,
82,2012-11-15,Singapore,11,0.906666666666667,2012-11-14,minister,,,1.0,1.0,,,,,,,,,,,,,0,1959-03-26,1959,1988-03-09,2018-03-02 00:00:00,male,pap,indian,19592.0,9016,0,0,0,0,1,0,12th parliament,5.0,148290.0,138263.0,58.4,80740.0,16.8,23217.0,
83,2012-11-15,Singapore,11,0.744186046511628,2012-11-14,minister,,,1.0,1.0,,,,,,,,,,,,,0,1959-03-26,1959,1988-03-09,2018-03-02 00:00:00,male,pap,indian,19592.0,9016,0,0,0,0,1,0,12th parliament,5.0,148290.0,138263.0,58.4,80740.0,16.8,23217.0,
84,2012-02-15,Prime News,13,1.0,2012-02-14,dpm,,,,,1.0,,,,,,,,,,,,0,1954-12-27,1954,1992-12-19,2018-03-02 00:00:00,male,pap,chinese,20868.0,6996,0,0,0,0,1,0,12th parliament,6.0,168971.0,155094.0,64.8,100493.0,29.6,45892.0,-3.9
85,2012-02-15,Prime News,13,0.994845360824742,2012-02-14,dpm,,,,,1.0,,,,,,,,,,,,0,1954-12-27,1954,1992-12-19,2018-03-02 00:00:00,male,pap,chinese,20868.0,6996,0,0,0,0,1,0,12th parliament,6.0,168971.0,155094.0,64.8,100493.0,29.6,45892.0,-3.9
86,2012-02-15,Prime News,13,1.0,2012-02-14,dpm,,,,,1.0,,,,,,,,,,,,0,1954-12-27,1954,1992-12-19,2018-03-02 00:00:00,male,pap,chinese,20868.0,6996,0,0,0,0,1,0,12th parliament,6.0,168971.0,155094.0,64.8,100493.0,29.6,45892.0,-3.9
87,2012-02-15,Prime News,13,0.942148760330578,2012-02-14,dpm,,,,,1.0,,,,,,,,,,,,0,1954-12-27,1954,1992-12-19,2018-03-02 00:00:00,male,pap,chinese,20868.0,6996,0,0,0,0,1,0,12th parliament,6.0,168971.0,155094.0,64.8,100493.0,29.6,45892.0,-3.9
88,2012-02-15,Prime News,13,0.991780821917808,2012-02-14,dpm,,,,,1.0,,,,,,,,,,,,0,1954-12-27,1954,1992-12-19,2018-03-02 00:00:00,male,pap,chinese,20868.0,6996,0,0,0,0,1,0,12th parliament,6.0,168971.0,155094.0,64.8,100493.0,29.6,45892.0,-3.9
89,2012-02-15,Prime News,13,0.967441860465116,2012-02-14,dpm,,,,,1.0,,,,,,,,,,,,0,1954-12-27,1954,1992-12-19,2018-03-02 00:00:00,male,pap,chinese,20868.0,6996,0,0,0,0,1,0,12th parliament,6.0,168971.0,155094.0,64.8,100493.0,29.6,45892.0,-3.9
90,2012-02-15,Prime News,13,0.950724637681159,2012-02-14,dpm,,,,,1.0,,,,,,,,,,,,0,1954-12-27,1954,1992-12-19,2018-03-02 00:00:00,male,pap,chinese,20868.0,6996,0,0,0,0,1,0,12th parliament,6.0,168971.0,155094.0,64.8,100493.0,29.6,45892.0,-3.9
